"code","name","portfolio_lvr","standard_lvr","single_lvr"
"NHC","NEW HOPE CORPORATION LIMITED","55","50","45"
"SDF","STEADFAST GROUP LIMITED","65","60","55"
"NHF","NIB HOLDINGS LIMITED","70","65","60"
"SDR","SITEMINDER LIMITED","40","0","0"
"NIC","NICKEL INDUSTRIES LIMITED","40","0","0"
"SEC","SPHERIA EMERGING COMPANIES LIMITED","65","60","55"
"NSR","NATIONAL STORAGE REIT","50","45","40"
"SEK","SEEK LIMITED","70","65","60"
"NST","NORTHERN STAR RESOURCES LTD","70","65","60"
"SEMI","GLOBAL X SEMICONDUCTOR ETF","65","60","55"
"NUF","NUFARM LIMITED","65","60","55"
"SFR","SANDFIRE RESOURCES LIMITED","55","50","45"
"NWH","NRW HOLDINGS LIMITED","45","40","35"
"50","FUND","80","75","70"
"NWL","NETWEALTH GROUP LIMITED","60","55","50"
"SGF","SG FLEET GROUP LIMITED","40","35","30"
"SGH","SGH LIMITED","70","65","60"
"NXT","NEXTDC LIMITED","60","55","50"
"SGM","SIMS LIMITED","65","60","55"
"OBL","OMNI BRIDGEWAY LIMITED","45","40","35"
"SGP","STOCKLAND","75","70","65"
"OCL","OBJECTIVE CORPORATION LIMITED","40","0","0"
"SHL","SONIC HEALTHCARE LIMITED","75","70","65"
"OFX","OFX GROUP LIMITED","50","45","40"
"SHV","SELECT HARVESTS LIMITED","45","40","35"
"MEDIA","LIMITED","40","35","30"
"SIG","SIGMA HEALTHCARE LIMITED","40","35","30"
"SIQ","SMARTGROUP CORPORATION LTD","60","55","50"
"OPH","OPHIR HIGH CONVICTION FUND","55","50","45"
"SKC","SKYCITY ENTERTAINMENT GROUP LIMITED","45","40","35"
"ORA","ORORA LIMITED","60","55","50"
"SLC","SUPERLOOP LIMITED","40","35","30"
"ORG","ORIGIN ENERGY LIMITED","50","45","40"
"200","LISTED PROPERTY FUND","70","65","60"
"ORI","ORICA LIMITED","75","70","65"
"SMR","STANMORE RESOURCES LIMITED","40","0","0"
"REIT","FUND","80","75","70"
"COMPANY","LIMITED","65","60","55"
"200","RESOURCES FUND","80","75","70"
"SPK","SPARK NEW ZEALAND LIMITED","70","65","60"
"PAC","PACIFIC CURRENT GROUP LIMITED","50","45","40"
"500","ETF TRUST","80","75","70"
"PAI","PLATINUM ASIA INVESTMENTS LIMITED","65","60","55"
"SRV","SERVCORP LIMITED","40","0","0"
"PDN","PALADIN ENERGY LTD","40","0","0"
"SSM","SERVICE STREAM LIMITED","55","50","45"
"PE1","PENGANA PRIVATE EQUITY TRUST","40","0","0"
"PFP","PROPEL FUNERAL PARTNERS LIMITED","50","45","40"
"STO","SANTOS LIMITED","75","70","65"
"PGF","PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED","65","60","55"
"200","FUND","80","75","70"
"PGH","PACT GROUP HOLDINGS LTD","40","0","0"
"SUL","SUPER RETAIL GROUP LIMITED","70","65","60"
"PIA","PENGANA INTERNATIONAL EQUITIES LIMITED","65","60","55"
"SUN","SUNCORP GROUP LIMITED","75","70","65"
"PIC","PERPETUAL EQUITY INVESTMENT COMPANY LIMITED","70","65","60"
"SUNPH","SUNCORP GROUP LIMITED","70","65","60"
"QUOTED","MANAGED HEDGE FUN","75","70","65"
"SUNPI","SUNCORP GROUP LIMITED","75","70","65"
"PL8","PLATO INCOME MAXIMISER LIMITED","65","60","55"
"SUNPJ","SUNCORP GROUP LIMITED","75","70","65"
"PLS","PILBARA MINERALS LIMITED","45","40","35"
"SVR","SOLVAR LIMITED","40","0","0"
"PMC","PLATINUM CAPITAL LIMITED","60","55","50"
"SWM","SEVEN WEST MEDIA LIMITED","40","0","0"
"PME","PRO MEDICUS LIMITED","45","40","35"
"PMGOLD","PERTH MINT GOLD A","75","70","65"
"SXL","SOUTHERN CROSS MEDIA GROUP LIMITED","40","0","0"
"PMV","PREMIER INVESTMENTS LIMITED","65","60","55"
"SYI","SPDR MSCI AUSTRALIA SELECT HIGH DIVIDEND YIELD FUND","80","75","70"
"PNI","PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED","60","55","50"
"TAH","TABCORP HOLDINGS LIMITED","65","60","55"
"PNV","POLYNOVO LIMITED","40","0","0"
"TCL","TRANSURBAN GROUP","80","75","70"
"PPC","PEET LIMITED","40","0","0"
"TECH","GLOBAL X MORNINGSTAR GLOBAL TECHNOLOGY ETF","65","60","55"
"PPM","PEPPER MONEY LIMITED","40","0","0"
"TER","TERRACOM LIMITED","40","0","0"
"PPS","PRAEMIUM LIMITED","40","35","30"
"TLC","THE LOTTERY CORPORATION LIMITED","65","60","55"
"PPT","PERPETUAL LIMITED","65","60","55"
"TLS","TELSTRA GROUP LIMITED","80","75","70"
"PRN","PERENTI LIMITED","40","0","0"
"TLX","TELIX PHARMACEUTICALS LIMITED","50","45","40"
"PRU","PERSEUS MINING LIMITED","65","60","55"
"TNE","TECHNOLOGY ONE LIMITED","70","65","60"
"PTM","PLATINUM ASSET MANAGEMENT LIMITED","55","50","45"
"TPG","TPG TELECOM LIMITED","60","55","50"
"PWH","PWR HOLDINGS LIMITED","55","50","45"
"WEBSTER","GROUP LTD","40","0","0"
"PXA","PEXA GROUP LIMITED","55","50","45"
"TRS","THE REJECT SHOP LIMITED","45","40","35"
"QAN","QANTAS AIRWAYS LIMITED","75","70","65"
"TUA","TUAS LIMITED","40","0","0"
"CURRENCY","HEDGED","80","75","70"
"TWE","TREASURY WINE ESTATES LIMITED","70","65","60"
"QBE","QBE INSURANCE GROUP LIMITED","75","70","65"
"QFN","BETASHARES AUSTRALIAN FINANCIALS SECTOR ETF","80","75","70"
"URNM","BETASHARES GLOBAL URANIUM ETF","60","55","50"
"QLTY","BETASHARES GLOBAL QUALITY LEADERS ETF","70","65","60"
"DOLLAR","ETF","80","75","70"
"200","ETF","80","75","70"
"VAE","VANGUARD FTSE ASIA EX JAPAN SHARES INDEX ETF","70","65","60"
"QPON","BETASHARES AUSTRALIAN BANK SENIOR FLOATING RATE BOND ETF","80","75","70"
"VAF","VANGUARD AUSTRALIAN FIXED INTEREST INDEX ETF","80","75","70"
"QRE","BETASHARES AUSTRALIAN RESOURCES SECTOR ETF","80","75","70"
"VAP","VANGUARD AUSTRALIAN PROPERTY SECURITIES INDEX ETF","75","70","65"
"QSML","VANECK MSCI INTL SMALL COMPANIES QUALITY ETF","75","70","65"
"VAS","VANGUARD AUSTRALIAN SHARES INDEX ETF","80","75","70"
"QUAL","VANECK MSCI INTERNATIONAL QUALITY ETF","75","70","65"
"VAU","VAULT MINERALS LIMITED","45","40","35"
"QUB","QUBE HOLDINGS LIMITED","70","65","60"
"VBLD","VANGUARD GLOBAL INFRASTRUCTURE INDEX ETF","70","65","60"
"500","EQUAL WEIGHT ETF","75","70","65"
"RARI","RUSSELL INVESTMENTS AUSTRALIAN RESPONSIBLE INVESTMENT ETF","75","70","65"
"VCX","VICINITY CENTRES","70","65","60"
"RBTZ","BETASHARES GLOBAL ROBOTICS AND ARTIFICIAL INTELLIGENCE ETF","65","60","55"
"VDBA","VANGUARD DIVERSIFIED BALANCED INDEX ETF","70","65","60"
"VDCO","VANGUARD DIVERSIFIED CONSERVATIVE INDEX ETF","75","70","65"
"RDV","RUSSELL INVESTMENTS HIGH DIVIDEND AUSTRALIAN SHARES ETF","80","75","70"
"VDGR","VANGUARD DIVERSIFIED GROWTH INDEX ETF","65","60","55"
"REA","REA GROUP LTD","65","60","55"
"VDHG","VANGUARD DIVERSIFIED HIGH GROWTH INDEX ETF","75","70","65"
"REG","REGIS HEALTHCARE LIMITED","40","35","30"
"VEA","VIVA ENERGY GROUP LIMITED","65","60","55"
"REH","REECE LIMITED","60","55","50"
"VEQ","VANGUARD FTSE EUROPE SHARES ETF","70","65","60"
"VESG","VANGUARD ETHICALLY CONSCIOUS INTERNATIONAL SHARES INDEX ","75","70","65"
"REP","RAM ESSENTIAL SERVICES PROPERTY FUND","45","40","35"
"VETH","VANGUARD ETHICALLY CONSCIOUS AUSTRALIAN SHARES ETF","75","70","65"
"RF1","REGAL INVESTMENT FUND","45","40","35"
"US","SHARES INDEX ETF","70","65","60"
"RFF","RURAL FUNDS GROUP","55","50","45"
"VG1","VGI PARTNERS GLOBAL INVESTMENTS LIMITED","65","60","55"
"RG8","REGAL ASIAN INVESTMENTS LIMITED","50","45","40"
"RGN","REGION GROUP","70","65","60"
"VGB","VANGUARD AUSTRALIAN GOVERNMENT BOND INDEX ETF","80","75","70"
"RHC","RAMSAY HEALTH CARE LIMITED","70","65","60"
"VGE","VANGUARD FTSE EMERGING MARKETS SHARES ETF","65","60","55"
"RHCPA","RAMSAY HEALTH CARE LIMITED","70","65","60"
"VGS","VANGUARD MSCI INDEX INTERNATIONAL SHARES ETF","80","75","70"
